,STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS
1268,Lakshadweep,LAKSHADWEEP,DR. MOHAMMED SADIQUE KP,0,JD(U),Arrow,MALE,0,64,ST,Post Graduate,49783111,2887460,1339,3,1342,2.431643987,2.853740484,55189
1269,Uttar Pradesh,LALGANJ,Sangeeta Azad,1,BSP,Elephant,FEMALE,0,44,SC,Graduate Professional,88451770,0,517545,1275,518820,29.61335175,53.98391782,1751980
1270,Uttar Pradesh,LALGANJ,Neelam Sonker,0,BJP,Lotus,FEMALE,1,43,SC,Post Graduate,46688371,4550000,356328,895,357223,20.3896734,37.16953293,1751980
1271,Uttar Pradesh,LALGANJ,Dr. Deelip Kumar Saroj,0,SBSP,Walking Stick,MALE,0,45,SC,Doctorate,177000,570570,17924,3,17927,1.023242274,1.865328428,1751980
1272,Uttar Pradesh,LALGANJ,Pankaj Mohan Sonkar,0,INC,Hand,MALE,3,29,SC,Graduate,4615570,1743219,17603,27,17630,1.006290026,1.834425179,1751980
1273,Maharashtra,LATUR,Sudhakar Tukaram Shrangare,1,BJP,Lotus,MALE,0,57,SC,10th Pass,286478302,100250602,657590,3905,661495,35.06175208,56.14983248,1886657
1274,Maharashtra,LATUR,Kamant Machhindra Gunwantrao,0,INC,Hand,MALE,0,59,SC,Post Graduate,125045318,19268169,370835,1549,372384,19.73776897,31.60915686,1886657
1275,Maharashtra,LATUR,Ram Garkar,0,VBA,Whistle,MALE,0,59,SC,Post Graduate,14323873,540000,111780,475,112255,5.949942146,9.528567027,1886657
1276,Jharkhand,LOHARDAGA,SUDARSHAN BHAGAT,1,BJP,Lotus,MALE,0,52,ST,Graduate,12947303,525000,369527,2068,371595,30.10606942,45.40688957,1234286
1277,Jharkhand,LOHARDAGA,SUKHDEO BHAGAT,0,INC,Hand,MALE,1,57,ST,Post Graduate,21094142,3935029,360068,1164,361232,29.26647471,44.14058729,1234286
1278,Jharkhand,LOHARDAGA,DEOKUMAR DHAN,0,JKP,Basket containing Fruits,MALE,1,53,ST,Graduate,22679920,2400000,19397,149,19546,1.583587596,2.388414978,1234286
1280,Jharkhand,LOHARDAGA,SANJAY ORAON,0,IND,Air Conditioner,MALE,0,41,ST,8th Pass,1352000,0,10658,5,10663,0.863900263,1.302960652,1234286
1281,Jharkhand,LOHARDAGA,DINESH ORAON,0,AITC,Flowers and Grass,MALE,0,26,ST,12th Pass,9232000,800000,9500,143,9643,0.781261393,1.178322195,1234286
1282,Jharkhand,LOHARDAGA,RAGHUNATH MAHLI,0,IND,Tractor Chalata Kisan,MALE,0,47,ST,8th Pass,1804321,250000,8948,2,8950,0.725115573,1.093641361,1234286
1283,Uttar Pradesh,LUCKNOW,Rajnath Singh,1,BJP,Lotus,MALE,0,67,GENERAL,Post Graduate,51492709,0,627881,5145,633026,31.0251048,56.64003293,2040367
1284,Uttar Pradesh,LUCKNOW,Poonam Shatrughan Sinha,0,SP,Bicycle,FEMALE,1,68,GENERAL,Graduate,1935459756,284863762,282858,2866,285724,14.00355916,25.56516915,2040367
1285,Uttar Pradesh,LUCKNOW,Acharya Pramod Krishnam,0,INC,Hand,MALE,0,56,GENERAL,Post Graduate,49765383,0,178904,1107,180011,8.822481446,16.1064932,2040367
1286,Punjab,LUDHIANA,RAVNEET SINGH BITTU,1,INC,Hand,MALE,3,43,GENERAL,12th Pass,54281096,3331266,383284,511,383795,22.79981584,36.65576276,1683325
1287,Punjab,LUDHIANA,SIMARJEET SINGH BAINS,0,LIP,Letter Box,MALE,8,48,GENERAL,Graduate,123412923,12443000,306786,637,307423,18.26284289,29.36157207,1683325
1288,Punjab,LUDHIANA,MAHESHINDER SINGH GREWAL,0,SAD,Scales,MALE,0,69,GENERAL,Graduate Professional,41621765,0,298963,472,299435,17.78830588,28.59864855,1683325
1289,Punjab,LUDHIANA,PROF. TEJ PAL SINGH GILL,0,AAP,Broom,MALE,0,32,GENERAL,Doctorate,1902817,0,15794,151,15945,0.947232412,1.522886273,1683325
1291,Uttar Pradesh,MACHHLISHAHR,Bholanath (B.P. Saroj),1,BJP,Lotus,MALE,0,58,SC,Graduate,259027394,11194163,487093,1304,488397,26.42403368,47.16943047,1848306
1292,Uttar Pradesh,MACHHLISHAHR,Tribhuvan Ram (T.Ram),0,BSP,Elephant,MALE,1,70,SC,Graduate,102095537,11700000,486763,1453,488216,26.41424093,47.15194947,1848306
1293,Uttar Pradesh,MACHHLISHAHR,Raj Nath,0,SBSP,Walking Stick,MALE,0,70,SC,Post Graduate,4441330,0,11212,11,11223,0.607204651,1.083918448,1848306
1295,Andhra Pradesh,MACHILIPATNAM,BALASHOWRY VALLABHANENI,1,YSRCP,Ceiling Fan,MALE,2,50,GENERAL,Post Graduate,990575840,746310844,567592,5258,572850,38.88086106,45.99165671,1473347
1296,Andhra Pradesh,MACHILIPATNAM,KONAKALLA NARAYANA RAO,0,TDP,Bicycle,MALE,0,68,GENERAL,12th Pass,58649214,16809408,509887,2725,512612,34.79234695,41.1554074,1473347
1297,Andhra Pradesh,MACHILIPATNAM,BANDREDDI RAMAKRISHNA,0,JnP,Glass Tumbler,MALE,0,44,GENERAL,Post Graduate,100800000,37600000,112566,876,113442,7.699611836,9.107769086,1473347
1299,Maharashtra,MADHA,Ranjeetsinha Hindurao Naik- Nimbalkar,1,BJP,Lotus,MALE,2,42,GENERAL,12th Pass,1275160578,896315287,583191,3123,586314,30.70391616,48.14443478,1909574
1300,Maharashtra,MADHA,Sanjaymama Vitthalrao Shinde,0,NCP,Clock,MALE,1,50,GENERAL,Graduate,493306415,112417440,498441,2109,500550,26.21265266,41.10203207,1909574
1301,Maharashtra,MADHA,Adv. Vijayrao More,0,VBA,Key,MALE,1,78,GENERAL,Graduate Professional,19159126,1606630,51349,183,51532,2.698612361,4.231485199,1909574
1302,Maharashtra,MADHA,Daulat Umaji Shitole,0,IND,Tent,MALE,0,43,GENERAL,Literate,62512874,112981121,12859,10,12869,0.673919942,1.056721708,1909574
1303,Bihar,MADHEPURA,Dinesh Chandra Yadav,1,JD(U),Arrow,MALE,1,67,GENERAL,Graduate Professional,37420953,700000,623460,874,624334,33.12322303,54.40098566,1884883
